E01,ROL01,PER01,A001
E1683,ROL1683,PER1683,A1683
E1684,ROL1684,PER1684,A1684
E1685,ROL1685,PER1685,A1685
E1686,ROL1686,PER1686,A1686
E1687,ROL1687,PER1687,A1687
E1688,ROL1688,PER1688,A1688
E1689,ROL1689,PER1689,A1689
E1690,ROL1690,PER1690,A1690
E1691,ROL1691,PER1691,A1691
E1692,ROL1692,PER1692,A1692
E1693,ROL1693,PER1693,A1693
E1694,ROL1694,PER1694,A1694
E1695,ROL1695,PER1695,A1695
E1696,ROL1696,PER1696,A1696
E1697,ROL1697,PER1697,A1697
E1698,ROL1698,PER1698,A1698
E1699,ROL1699,PER1699,A1699
E1700,ROL1700,PER1700,A1700
E1701,ROL1701,PER1701,A1701
E1702,ROL1702,PER1702,A1702
E1703,ROL1703,PER1703,A1703
E1704,ROL1704,PER1704,A1704
E1705,ROL1705,PER1705,A1705
E1706,ROL1706,PER1706,A1706
E1707,ROL1707,PER1707,A1707
E1708,ROL1708,PER1708,A1708
E1709,ROL1709,PER1709,A1709
E1710,ROL1710,PER1710,A1710
E1711,ROL1711,PER1711,A1711
E1712,ROL1712,PER1712,A1712
E1713,ROL1713,PER1713,A1713
E1714,ROL1714,PER1714,A1714
E1715,ROL1715,PER1715,A1715
E1716,ROL1716,PER1716,A1716
E1717,ROL1717,PER1717,A1717
E1718,ROL1718,PER1718,A1718
E1719,ROL1719,PER1719,A1719
E1720,ROL1720,PER1720,A1720
E1721,ROL1721,PER1721,A1721
E1722,ROL1722,PER1722,A1722
E1723,ROL1723,PER1723,A1723
E1724,ROL1724,PER1724,A1724
E1725,ROL1725,PER1725,A1725
E1726,ROL1726,PER1726,A1726
E1727,ROL1727,PER1727,A1727
E1728,ROL1728,PER1728,A1728
E1729,ROL1729,PER1729,A1729
E1730,ROL1730,PER1730,A1730
E1731,ROL1731,PER1731,A1731
E1732,ROL1732,PER1732,A1732
E1733,ROL1733,PER1733,A1733
E1734,ROL1734,PER1734,A1734
E1735,ROL1735,PER1735,A1735
E1736,ROL1736,PER1736,A1736
E1737,ROL1737,PER1737,A1737
E1738,ROL1738,PER1738,A1738
E1739,ROL1739,PER1739,A1739
E1740,ROL1740,PER1740,A1740
E1741,ROL1741,PER1741,A1741
E1742,ROL1742,PER1742,A1742
E1743,ROL1743,PER1743,A1743
E1744,ROL1744,PER1744,A1744
E1745,ROL1745,PER1745,A1745
E1746,ROL1746,PER1746,A1746
E1747,ROL1747,PER1747,A1747
E1748,ROL1748,PER1748,A1748
E1749,ROL1749,PER1749,A1749
E1750,ROL1750,PER1750,A1750
E1751,ROL1751,PER1751,A1751
E1752,ROL1752,PER1752,A1752
E1753,ROL1753,PER1753,A1753
E1754,ROL1754,PER1754,A1754
E1755,ROL1755,PER1755,A1755
E1756,ROL1756,PER1756,A1756
E1757,ROL1757,PER1757,A1757
E1758,ROL1758,PER1758,A1758
E1759,ROL1759,PER1759,A1759
E1760,ROL1760,PER1760,A1760
E1761,ROL1761,PER1761,A1761
E1762,ROL1762,PER1762,A1762
E1763,ROL1763,PER1763,A1763
E1764,ROL1764,PER1764,A1764
E1765,ROL1765,PER1765,A1765
E1766,ROL1766,PER1766,A1766
E1767,ROL1767,PER1767,A1767
E1768,ROL1768,PER1768,A1768
E1769,ROL1769,PER1769,A1769
E1770,ROL1770,PER1770,A1770
E1771,ROL1771,PER1771,A1771
E1772,ROL1772,PER1772,A1772
E1773,ROL1773,PER1773,A1773
E1774,ROL1774,PER1774,A1774
E1775,ROL1775,PER1775,A1775
E1776,ROL1776,PER1776,A1776
E1777,ROL1777,PER1777,A1777
E1778,ROL1778,PER1778,A1778
E1779,ROL1779,PER1779,A1779
E1780,ROL1780,PER1780,A1780
E1781,ROL1781,PER1781,A1781
E1782,ROL1782,PER1782,A1782
E1783,ROL1783,PER1783,A1783
E1784,ROL1784,PER1784,A1784
E1785,ROL1785,PER1785,A1785
E1786,ROL1786,PER1786,A1786
E1787,ROL1787,PER1787,A1787
E1788,ROL1788,PER1788,A1788
E1789,ROL1789,PER1789,A1789
E1790,ROL1790,PER1790,A1790
E1791,ROL1791,PER1791,A1791
E1792,ROL1792,PER1792,A1792
E1793,ROL1793,PER1793,A1793
E1794,ROL1794,PER1794,A1794
E1795,ROL1795,PER1795,A1795
E1796,ROL1796,PER1796,A1796
E1797,ROL1797,PER1797,A1797
E1798,ROL1798,PER1798,A1798
E1799,ROL1799,PER1799,A1799
E1800,ROL1800,PER1800,A1800
E1801,ROL1801,PER1801,A1801
E1802,ROL1802,PER1802,A1802
E1803,ROL1803,PER1803,A1803
E1804,ROL1804,PER1804,A1804
E1805,ROL1805,PER1805,A1805
E1806,ROL1806,PER1806,A1806
E1807,ROL1807,PER1807,A1807
E1808,ROL1808,PER1808,A1808
E1809,ROL1809,PER1809,A1809
E1810,ROL1810,PER1810,A1810
E1811,ROL1811,PER1811,A1811
E1812,ROL1812,PER1812,A1812
E1813,ROL1813,PER1813,A1813
E1814,ROL1814,PER1814,A1814
E1815,ROL1815,PER1815,A1815
E1816,ROL1816,PER1816,A1816
E1817,ROL1817,PER1817,A1817
E1818,ROL1818,PER1818,A1818
E1819,ROL1819,PER1819,A1819
E1820,ROL1820,PER1820,A1820
E1821,ROL1821,PER1821,A1821
E1822,ROL1822,PER1822,A1822
E1823,ROL1823,PER1823,A1823
E1824,ROL1824,PER1824,A1824
E1825,ROL1825,PER1825,A1825
E1826,ROL1826,PER1826,A1826
E1827,ROL1827,PER1827,A1827
E1828,ROL1828,PER1828,A1828
E1829,ROL1829,PER1829,A1829
E1830,ROL1830,PER1830,A1830
E1831,ROL1831,PER1831,A1831
E1832,ROL1832,PER1832,A1832
E1833,ROL1833,PER1833,A1833
E1834,ROL1834,PER1834,A1834
E1835,ROL1835,PER1835,A1835
E1836,ROL1836,PER1836,A1836
E1837,ROL1837,PER1837,A1837
E1838,ROL1838,PER1838,A1838
E1839,ROL1839,PER1839,A1839
E1840,ROL1840,PER1840,A1840
E1841,ROL1841,PER1841,A1841
E1842,ROL1842,PER1842,A1842
E1843,ROL1843,PER1843,A1843
E1844,ROL1844,PER1844,A1844
E1845,ROL1845,PER1845,A1845
E1846,ROL1846,PER1846,A1846
E1847,ROL1847,PER1847,A1847
E1848,ROL1848,PER1848,A1848
E1849,ROL1849,PER1849,A1849
E1850,ROL1850,PER1850,A1850
E1851,ROL1851,PER1851,A1851
E1852,ROL1852,PER1852,A1852
E1853,ROL1853,PER1853,A1853
E1854,ROL1854,PER1854,A1854
E1855,ROL1855,PER1855,A1855
E1856,ROL1856,PER1856,A1856
E1857,ROL1857,PER1857,A1857
E1858,ROL1858,PER1858,A1858
E1859,ROL1859,PER1859,A1859
E1860,ROL1860,PER1860,A1860
E1861,ROL1861,PER1861,A1861
E1862,ROL1862,PER1862,A1862
E1863,ROL1863,PER1863,A1863
E1864,ROL1864,PER1864,A1864
E1865,ROL1865,PER1865,A1865
E1866,ROL1866,PER1866,A1866
E1867,ROL1867,PER1867,A1867
E1868,ROL1868,PER1868,A1868
E1869,ROL1869,PER1869,A1869
E1870,ROL1870,PER1870,A1870
E1871,ROL1871,PER1871,A1871
E1872,ROL1872,PER1872,A1872
E1873,ROL1873,PER1873,A1873
E1874,ROL1874,PER1874,A1874
E1875,ROL1875,PER1875,A1875
E1876,ROL1876,PER1876,A1876
E1877,ROL1877,PER1877,A1877
E1878,ROL1878,PER1878,A1878
E1879,ROL1879,PER1879,A1879
E1880,ROL1880,PER1880,A1880
E1881,ROL1881,PER1881,A1881
E1882,ROL1882,PER1882,A1882
E1883,ROL1883,PER1883,A1883
E1884,ROL1884,PER1884,A1884
E1885,ROL1885,PER1885,A1885
E1886,ROL1886,PER1886,A1886
E1887,ROL1887,PER1887,A1887
E1888,ROL1888,PER1888,A1888
E1889,ROL1889,PER1889,A1889
E1890,ROL1890,PER1890,A1890
E1891,ROL1891,PER1891,A1891
E1892,ROL1892,PER1892,A1892
E1893,ROL1893,PER1893,A1893
E1894,ROL1894,PER1894,A1894
E1895,ROL1895,PER1895,A1895
E1896,ROL1896,PER1896,A1896
E1897,ROL1897,PER1897,A1897
E1898,ROL1898,PER1898,A1898
E1899,ROL1899,PER1899,A1899
E1900,ROL1900,PER1900,A1900
E1901,ROL1901,PER1901,A1901
E1902,ROL1902,PER1902,A1902
E1903,ROL1903,PER1903,A1903
E1904,ROL1904,PER1904,A1904
E1905,ROL1905,PER1905,A1905
E1906,ROL1906,PER1906,A1906
E1907,ROL1907,PER1907,A1907
E1908,ROL1908,PER1908,A1908
E1909,ROL1909,PER1909,A1909
E1910,ROL1910,PER1910,A1910
E1911,ROL1911,PER1911,A1911
E1912,ROL1912,PER1912,A1912
E1913,ROL1913,PER1913,A1913
E1914,ROL1914,PER1914,A1914
E1915,ROL1915,PER1915,A1915
E1916,ROL1916,PER1916,A1916
E1917,ROL1917,PER1917,A1917
E1918,ROL1918,PER1918,A1918
E1919,ROL1919,PER1919,A1919
E1920,ROL1920,PER1920,A1920
E1921,ROL1921,PER1921,A1921
E1922,ROL1922,PER1922,A1922
E1923,ROL1923,PER1923,A1923
E1924,ROL1924,PER1924,A1924
E1925,ROL1925,PER1925,A1925
E1926,ROL1926,PER1926,A1926
E1927,ROL1927,PER1927,A1927
E1928,ROL1928,PER1928,A1928
E1929,ROL1929,PER1929,A1929
E1930,ROL1930,PER1930,A1930
E1931,ROL1931,PER1931,A1931
E1932,ROL1932,PER1932,A1932
E1933,ROL1933,PER1933,A1933
E1934,ROL1934,PER1934,A1934
E1935,ROL1935,PER1935,A1935
E1936,ROL1936,PER1936,A1936
E1937,ROL1937,PER1937,A1937
E1938,ROL1938,PER1938,A1938
E1939,ROL1939,PER1939,A1939
E1940,ROL1940,PER1940,A1940
E1941,ROL1941,PER1941,A1941
E1942,ROL1942,PER1942,A1942
E1943,ROL1943,PER1943,A1943
E1944,ROL1944,PER1944,A1944
E1945,ROL1945,PER1945,A1945
E1946,ROL1946,PER1946,A1946
E1947,ROL1947,PER1947,A1947
E1948,ROL1948,PER1948,A1948
E1949,ROL1949,PER1949,A1949
E1950,ROL1950,PER1950,A1950
E1951,ROL1951,PER1951,A1951
E1952,ROL1952,PER1952,A1952
E1953,ROL1953,PER1953,A1953
E1954,ROL1954,PER1954,A1954
E1955,ROL1955,PER1955,A1955
E1956,ROL1956,PER1956,A1956
E1957,ROL1957,PER1957,A1957
E1958,ROL1958,PER1958,A1958
E1959,ROL1959,PER1959,A1959
E1960,ROL1960,PER1960,A1960
E1961,ROL1961,PER1961,A1961
E1962,ROL1962,PER1962,A1962
E1963,ROL1963,PER1963,A1963
E1964,ROL1964,PER1964,A1964
E1965,ROL1965,PER1965,A1965
E1966,ROL1966,PER1966,A1966
E1967,ROL1967,PER1967,A1967
E1968,ROL1968,PER1968,A1968
E1969,ROL1969,PER1969,A1969
E1970,ROL1970,PER1970,A1970
E1971,ROL1971,PER1971,A1971
E1972,ROL1972,PER1972,A1972
E1973,ROL1973,PER1973,A1973
E1974,ROL1974,PER1974,A1974
E1975,ROL1975,PER1975,A1975
E1976,ROL1976,PER1976,A1976
E1977,ROL1977,PER1977,A1977
E1978,ROL1978,PER1978,A1978
E1979,ROL1979,PER1979,A1979
E1980,ROL1980,PER1980,A1980
E1981,ROL1981,PER1981,A1981
E1982,ROL1982,PER1982,A1982
E1983,ROL1983,PER1983,A1983
E1984,ROL1984,PER1984,A1984
E1985,ROL1985,PER1985,A1985
E1986,ROL1986,PER1986,A1986
E1987,ROL1987,PER1987,A1987
E1988,ROL1988,PER1988,A1988
E1989,ROL1989,PER1989,A1989
E1990,ROL1990,PER1990,A1990
E1991,ROL1991,PER1991,A1991
E1992,ROL1992,PER1992,A1992
E1993,ROL1993,PER1993,A1993
E1994,ROL1994,PER1994,A1994
E1995,ROL1995,PER1995,A1995
E1996,ROL1996,PER1996,A1996
E1997,ROL1997,PER1997,A1997
E1998,ROL1998,PER1998,A1998
E1999,ROL1999,PER1999,A1999
E2000,ROL2000,PER2000,A2000
E2001,ROL2001,PER2001,A2001
E2002,ROL2002,PER2002,A2002
E2003,ROL2003,PER2003,A2003
E2004,ROL2004,PER2004,A2004
E2005,ROL2005,PER2005,A2005
E2006,ROL2006,PER2006,A2006
E2007,ROL2007,PER2007,A2007
E2008,ROL2008,PER2008,A2008
E2009,ROL2009,PER2009,A2009
E2010,ROL2010,PER2010,A2010
E2011,ROL2011,PER2011,A2011
E2012,ROL2012,PER2012,A2012
E2013,ROL2013,PER2013,A2013
E2014,ROL2014,PER2014,A2014
E2015,ROL2015,PER2015,A2015
E2016,ROL2016,PER2016,A2016
E2017,ROL2017,PER2017,A2017
E2018,ROL2018,PER2018,A2018
E2019,ROL2019,PER2019,A2019
E2020,ROL2020,PER2020,A2020
E2021,ROL2021,PER2021,A2021
E2022,ROL2022,PER2022,A2022
E2023,ROL2023,PER2023,A2023
E2024,ROL2024,PER2024,A2024
E2025,ROL2025,PER2025,A2025
E2026,ROL2026,PER2026,A2026
E2027,ROL2027,PER2027,A2027
E2028,ROL2028,PER2028,A2028
E2029,ROL2029,PER2029,A2029
E2030,ROL2030,PER2030,A2030
E2031,ROL2031,PER2031,A2031
E2032,ROL2032,PER2032,A2032
E2033,ROL2033,PER2033,A2033
E2034,ROL2034,PER2034,A2034
E2035,ROL2035,PER2035,A2035
E2036,ROL2036,PER2036,A2036
E2037,ROL2037,PER2037,A2037
E2038,ROL2038,PER2038,A2038
E2039,ROL2039,PER2039,A2039
E2040,ROL2040,PER2040,A2040
E2041,ROL2041,PER2041,A2041
E2042,ROL2042,PER2042,A2042
E2043,ROL2043,PER2043,A2043
E2044,ROL2044,PER2044,A2044
E2045,ROL2045,PER2045,A2045
E2046,ROL2046,PER2046,A2046
E2047,ROL2047,PER2047,A2047
E2048,ROL2048,PER2048,A2048
E2049,ROL2049,PER2049,A2049
E2050,ROL2050,PER2050,A2050
E2051,ROL2051,PER2051,A2051
E2052,ROL2052,PER2052,A2052
E2053,ROL2053,PER2053,A2053
E2054,ROL2054,PER2054,A2054
E2055,ROL2055,PER2055,A2055
E2056,ROL2056,PER2056,A2056
E2057,ROL2057,PER2057,A2057
E2058,ROL2058,PER2058,A2058
E2059,ROL2059,PER2059,A2059
E2060,ROL2060,PER2060,A2060
E2061,ROL2061,PER2061,A2061
E2062,ROL2062,PER2062,A2062
E2063,ROL2063,PER2063,A2063
E2064,ROL2064,PER2064,A2064
E2065,ROL2065,PER2065,A2065
E2066,ROL2066,PER2066,A2066
E2067,ROL2067,PER2067,A2067
E2068,ROL2068,PER2068,A2068
E2069,ROL2069,PER2069,A2069
E2070,ROL2070,PER2070,A2070
E2071,ROL2071,PER2071,A2071
E2072,ROL2072,PER2072,A2072
E2073,ROL2073,PER2073,A2073
E2074,ROL2074,PER2074,A2074
E2075,ROL2075,PER2075,A2075
E2076,ROL2076,PER2076,A2076
E2077,ROL2077,PER2077,A2077
E2078,ROL2078,PER2078,A2078
E2079,ROL2079,PER2079,A2079
E2080,ROL2080,PER2080,A2080
E2081,ROL2081,PER2081,A2081
E2082,ROL2082,PER2082,A2082
E2083,ROL2083,PER2083,A2083
E2084,ROL2084,PER2084,A2084
E2085,ROL2085,PER2085,A2085
E2086,ROL2086,PER2086,A2086
E2087,ROL2087,PER2087,A2087
E2088,ROL2088,PER2088,A2088
E2089,ROL2089,PER2089,A2089
E2090,ROL2090,PER2090,A2090
E2091,ROL2091,PER2091,A2091
E2092,ROL2092,PER2092,A2092
E2093,ROL2093,PER2093,A2093
E2094,ROL2094,PER2094,A2094
E2095,ROL2095,PER2095,A2095
E2096,ROL2096,PER2096,A2096
E2097,ROL2097,PER2097,A2097
E2098,ROL2098,PER2098,A2098
E2099,ROL2099,PER2099,A2099
E2100,ROL2100,PER2100,A2100
E2101,ROL2101,PER2101,A2101
E2102,ROL2102,PER2102,A2102
E2103,ROL2103,PER2103,A2103
E2104,ROL2104,PER2104,A2104
E2105,ROL2105,PER2105,A2105
E2106,ROL2106,PER2106,A2106
E2107,ROL2107,PER2107,A2107
E2108,ROL2108,PER2108,A2108
E2109,ROL2109,PER2109,A2109
E2110,ROL2110,PER2110,A2110
E2111,ROL2111,PER2111,A2111
E2112,ROL2112,PER2112,A2112
E2113,ROL2113,PER2113,A2113
E2114,ROL2114,PER2114,A2114
E2115,ROL2115,PER2115,A2115
E2116,ROL2116,PER2116,A2116
E2117,ROL2117,PER2117,A2117
E2118,ROL2118,PER2118,A2118
E2119,ROL2119,PER2119,A2119
E2120,ROL2120,PER2120,A2120
E2121,ROL2121,PER2121,A2121
E2122,ROL2122,PER2122,A2122
E2123,ROL2123,PER2123,A2123
E2124,ROL2124,PER2124,A2124
E2125,ROL2125,PER2125,A2125
E2126,ROL2126,PER2126,A2126
E2127,ROL2127,PER2127,A2127
E2128,ROL2128,PER2128,A2128
E2129,ROL2129,PER2129,A2129
E2130,ROL2130,PER2130,A2130
E2131,ROL2131,PER2131,A2131
E2132,ROL2132,PER2132,A2132
E2133,ROL2133,PER2133,A2133
E2134,ROL2134,PER2134,A2134
E2135,ROL2135,PER2135,A2135
E2136,ROL2136,PER2136,A2136
E2137,ROL2137,PER2137,A2137
E2138,ROL2138,PER2138,A2138
E2139,ROL2139,PER2139,A2139
E2140,ROL2140,PER2140,A2140
E2141,ROL2141,PER2141,A2141
E2142,ROL2142,PER2142,A2142
E2143,ROL2143,PER2143,A2143
E2144,ROL2144,PER2144,A2144
E2145,ROL2145,PER2145,A2145
E2146,ROL2146,PER2146,A2146
E2147,ROL2147,PER2147,A2147
E2148,ROL2148,PER2148,A2148
E2149,ROL2149,PER2149,A2149
E2150,ROL2150,PER2150,A2150
E2151,ROL2151,PER2151,A2151
E2152,ROL2152,PER2152,A2152
E2153,ROL2153,PER2153,A2153
E2154,ROL2154,PER2154,A2154
E2155,ROL2155,PER2155,A2155
E2156,ROL2156,PER2156,A2156
E2157,ROL2157,PER2157,A2157
E2158,ROL2158,PER2158,A2158
E2159,ROL2159,PER2159,A2159
E2160,ROL2160,PER2160,A2160
E2161,ROL2161,PER2161,A2161
E2162,ROL2162,PER2162,A2162
E2163,ROL2163,PER2163,A2163
E2164,ROL2164,PER2164,A2164
E2165,ROL2165,PER2165,A2165
E2166,ROL2166,PER2166,A2166
E2167,ROL2167,PER2167,A2167
E2168,ROL2168,PER2168,A2168
E2169,ROL2169,PER2169,A2169
E2170,ROL2170,PER2170,A2170
E2171,ROL2171,PER2171,A2171
E2172,ROL2172,PER2172,A2172
E2173,ROL2173,PER2173,A2173
E2174,ROL2174,PER2174,A2174
E2175,ROL2175,PER2175,A2175
E2176,ROL2176,PER2176,A2176
E2177,ROL2177,PER2177,A2177
E2178,ROL2178,PER2178,A2178
E2179,ROL2179,PER2179,A2179
E2180,ROL2180,PER2180,A2180
E2181,ROL2181,PER2181,A2181
E2182,ROL2182,PER2182,A2182
E2183,ROL2183,PER2183,A2183
E2184,ROL2184,PER2184,A2184
E2185,ROL2185,PER2185,A2185
E2186,ROL2186,PER2186,A2186
E2187,ROL2187,PER2187,A2187
E2188,ROL2188,PER2188,A2188
E2189,ROL2189,PER2189,A2189
E2190,ROL2190,PER2190,A2190
E2191,ROL2191,PER2191,A2191
E2192,ROL2192,PER2192,A2192
E2193,ROL2193,PER2193,A2193
E2194,ROL2194,PER2194,A2194
E2195,ROL2195,PER2195,A2195
E2196,ROL2196,PER2196,A2196
E2197,ROL2197,PER2197,A2197
E2198,ROL2198,PER2198,A2198
E2199,ROL2199,PER2199,A2199
E2200,ROL2200,PER2200,A2200
E2201,ROL2201,PER2201,A2201
E2202,ROL2202,PER2202,A2202
E2203,ROL2203,PER2203,A2203
E2204,ROL2204,PER2204,A2204
E2205,ROL2205,PER2205,A2205
E2206,ROL2206,PER2206,A2206
E2207,ROL2207,PER2207,A2207
E2208,ROL2208,PER2208,A2208
E2209,ROL2209,PER2209,A2209
E2210,ROL2210,PER2210,A2210
E2211,ROL2211,PER2211,A2211
E2212,ROL2212,PER2212,A2212
E2213,ROL2213,PER2213,A2213
E2214,ROL2214,PER2214,A2214
E2215,ROL2215,PER2215,A2215
E2216,ROL2216,PER2216,A2216
E2217,ROL2217,PER2217,A2217
E2218,ROL2218,PER2218,A2218
E2219,ROL2219,PER2219,A2219
E2220,ROL2220,PER2220,A2220
E2221,ROL2221,PER2221,A2221
E2222,ROL2222,PER2222,A2222
E2223,ROL2223,PER2223,A2223
E2224,ROL2224,PER2224,A2224
E2225,ROL2225,PER2225,A2225
E2226,ROL2226,PER2226,A2226
E2227,ROL2227,PER2227,A2227
E2228,ROL2228,PER2228,A2228
E2229,ROL2229,PER2229,A2229
E2230,ROL2230,PER2230,A2230
E2231,ROL2231,PER2231,A2231
E2232,ROL2232,PER2232,A2232
E2233,ROL2233,PER2233,A2233
E2234,ROL2234,PER2234,A2234
E2235,ROL2235,PER2235,A2235
E2236,ROL2236,PER2236,A2236
E2237,ROL2237,PER2237,A2237
E2238,ROL2238,PER2238,A2238
E2239,ROL2239,PER2239,A2239
E2240,ROL2240,PER2240,A2240
E2241,ROL2241,PER2241,A2241
E2242,ROL2242,PER2242,A2242
E2243,ROL2243,PER2243,A2243
E2244,ROL2244,PER2244,A2244
E2245,ROL2245,PER2245,A2245
E2246,ROL2246,PER2246,A2246
E2247,ROL2247,PER2247,A2247
E2248,ROL2248,PER2248,A2248
E2249,ROL2249,PER2249,A2249
E2250,ROL2250,PER2250,A2250
E2251,ROL2251,PER2251,A2251
E2252,ROL2252,PER2252,A2252
E2253,ROL2253,PER2253,A2253
E2254,ROL2254,PER2254,A2254
E2255,ROL2255,PER2255,A2255
E2256,ROL2256,PER2256,A2256
E2257,ROL2257,PER2257,A2257
E2258,ROL2258,PER2258,A2258
E2259,ROL2259,PER2259,A2259
E2260,ROL2260,PER2260,A2260
E2261,ROL2261,PER2261,A2261
E2262,ROL2262,PER2262,A2262
E2263,ROL2263,PER2263,A2263
E2264,ROL2264,PER2264,A2264
E2265,ROL2265,PER2265,A2265
E2266,ROL2266,PER2266,A2266
E2267,ROL2267,PER2267,A2267
E2268,ROL2268,PER2268,A2268
E2269,ROL2269,PER2269,A2269
E2270,ROL2270,PER2270,A2270
E2271,ROL2271,PER2271,A2271
E2272,ROL2272,PER2272,A2272
E2273,ROL2273,PER2273,A2273
E2274,ROL2274,PER2274,A2274
E2275,ROL2275,PER2275,A2275
E2276,ROL2276,PER2276,A2276
E2277,ROL2277,PER2277,A2277
E2278,ROL2278,PER2278,A2278
E2279,ROL2279,PER2279,A2279
E2280,ROL2280,PER2280,A2280
E2281,ROL2281,PER2281,A2281
E2282,ROL2282,PER2282,A2282
E2283,ROL2283,PER2283,A2283
E2284,ROL2284,PER2284,A2284
E2285,ROL2285,PER2285,A2285
E2286,ROL2286,PER2286,A2286
E2287,ROL2287,PER2287,A2287
E2288,ROL2288,PER2288,A2288
E2289,ROL2289,PER2289,A2289
E2290,ROL2290,PER2290,A2290
E2291,ROL2291,PER2291,A2291
E2292,ROL2292,PER2292,A2292
E2293,ROL2293,PER2293,A2293
E2294,ROL2294,PER2294,A2294
E2295,ROL2295,PER2295,A2295
E2296,ROL2296,PER2296,A2296
E2297,ROL2297,PER2297,A2297
E2298,ROL2298,PER2298,A2298
E2299,ROL2299,PER2299,A2299
E2300,ROL2300,PER2300,A2300
E2301,ROL2301,PER2301,A2301
E2302,ROL2302,PER2302,A2302
E2303,ROL2303,PER2303,A2303
E2304,ROL2304,PER2304,A2304
E2305,ROL2305,PER2305,A2305
E2306,ROL2306,PER2306,A2306
E2307,ROL2307,PER2307,A2307
E2308,ROL2308,PER2308,A2308
E2309,ROL2309,PER2309,A2309
E2310,ROL2310,PER2310,A2310
E2311,ROL2311,PER2311,A2311
E2312,ROL2312,PER2312,A2312
E2313,ROL2313,PER2313,A2313
E2314,ROL2314,PER2314,A2314
E2315,ROL2315,PER2315,A2315
E2316,ROL2316,PER2316,A2316
E2317,ROL2317,PER2317,A2317
E2318,ROL2318,PER2318,A2318
E2319,ROL2319,PER2319,A2319
E2320,ROL2320,PER2320,A2320
E2321,ROL2321,PER2321,A2321
E2322,ROL2322,PER2322,A2322
E2323,ROL2323,PER2323,A2323
E2324,ROL2324,PER2324,A2324
E2325,ROL2325,PER2325,A2325
E2326,ROL2326,PER2326,A2326
E2327,ROL2327,PER2327,A2327
E2328,ROL2328,PER2328,A2328
E2329,ROL2329,PER2329,A2329
E2330,ROL2330,PER2330,A2330
E2331,ROL2331,PER2331,A2331
E2332,ROL2332,PER2332,A2332
E2333,ROL2333,PER2333,A2333
E2334,ROL2334,PER2334,A2334
E2335,ROL2335,PER2335,A2335
E2336,ROL2336,PER2336,A2336
E2337,ROL2337,PER2337,A2337
E2338,ROL2338,PER2338,A2338
E2339,ROL2339,PER2339,A2339
E2340,ROL2340,PER2340,A2340
E2341,ROL2341,PER2341,A2341
E2342,ROL2342,PER2342,A2342
E2343,ROL2343,PER2343,A2343
E2344,ROL2344,PER2344,A2344
E2345,ROL2345,PER2345,A2345
E2346,ROL2346,PER2346,A2346
E2347,ROL2347,PER2347,A2347
E2348,ROL2348,PER2348,A2348
E2349,ROL2349,PER2349,A2349
E2350,ROL2350,PER2350,A2350
E2351,ROL2351,PER2351,A2351
E2352,ROL2352,PER2352,A2352
E2353,ROL2353,PER2353,A2353
E2354,ROL2354,PER2354,A2354
E2355,ROL2355,PER2355,A2355
E2356,ROL2356,PER2356,A2356
E2357,ROL2357,PER2357,A2357
E2358,ROL2358,PER2358,A2358
E2359,ROL2359,PER2359,A2359
E2360,ROL2360,PER2360,A2360
E2361,ROL2361,PER2361,A2361
E2362,ROL2362,PER2362,A2362
E2363,ROL2363,PER2363,A2363
E2364,ROL2364,PER2364,A2364
E2365,ROL2365,PER2365,A2365
E2366,ROL2366,PER2366,A2366
E2367,ROL2367,PER2367,A2367
E2368,ROL2368,PER2368,A2368
E2369,ROL2369,PER2369,A2369
E2370,ROL2370,PER2370,A2370
E2371,ROL2371,PER2371,A2371
E2372,ROL2372,PER2372,A2372
E2373,ROL2373,PER2373,A2373
E2374,ROL2374,PER2374,A2374
E2375,ROL2375,PER2375,A2375
E2376,ROL2376,PER2376,A2376
E2377,ROL2377,PER2377,A2377
E2378,ROL2378,PER2378,A2378
E2379,ROL2379,PER2379,A2379
E2380,ROL2380,PER2380,A2380
E2381,ROL2381,PER2381,A2381
E2382,ROL2382,PER2382,A2382
E2383,ROL2383,PER2383,A2383
E2384,ROL2384,PER2384,A2384
E2385,ROL2385,PER2385,A2385
E2386,ROL2386,PER2386,A2386
E2387,ROL2387,PER2387,A2387
E2388,ROL2388,PER2388,A2388
E2389,ROL2389,PER2389,A2389
E2390,ROL2390,PER2390,A2390
E2391,ROL2391,PER2391,A2391
E2392,ROL2392,PER2392,A2392
E2393,ROL2393,PER2393,A2393
E2394,ROL2394,PER2394,A2394
E2395,ROL2395,PER2395,A2395
E2396,ROL2396,PER2396,A2396
E2397,ROL2397,PER2397,A2397
E2398,ROL2398,PER2398,A2398
E2399,ROL2399,PER2399,A2399
E2400,ROL2400,PER2400,A2400
E2401,ROL2401,PER2401,A2401
E2402,ROL2402,PER2402,A2402
E2403,ROL2403,PER2403,A2403
E2404,ROL2404,PER2404,A2404
E2405,ROL2405,PER2405,A2405
E2406,ROL2406,PER2406,A2406
E2407,ROL2407,PER2407,A2407
E2408,ROL2408,PER2408,A2408
E2409,ROL2409,PER2409,A2409
E2410,ROL2410,PER2410,A2410
E2411,ROL2411,PER2411,A2411
E2412,ROL2412,PER2412,A2412
E2413,ROL2413,PER2413,A2413
E2414,ROL2414,PER2414,A2414
E2415,ROL2415,PER2415,A2415
E2416,ROL2416,PER2416,A2416
E2417,ROL2417,PER2417,A2417
E2418,ROL2418,PER2418,A2418
